product_ean	code	store_name	location
4309748882180	US	Tyler	America/Chicago
5851941655164	PK	Alipur	Asia/Karachi
5289124458231	MY	Kampung Ayer Molek	Asia/Kuala_Lumpur
6565130443652	US	Glendale	America/Los_Angeles
8081875346334	PH	Naga	Asia/Manila
7318822469916	IT	Francavilla Fontana	Europe/Rome
8799476584047	CF	Carnot	Africa/Bangui
3076888456182	US	Pekin	America/Chicago
0591922558408	US	Palestine	America/Chicago
0064354858502	NL	Losser	Europe/Amsterdam
7230440153537	IN	Calangute	Asia/Kolkata
8529741447391	MX	Acaponeta	America/Mazatlan
8620199662265	US	Troutdale	America/Los_Angeles
7144321853174	US	Kearns	America/Denver
5583683978644	US	Utica	America/New_York
9275887618773	GB	Cowes	Europe/London
8399630110732	PK	Tharu Shah	Asia/Karachi
7009281661743	DE	Weimar	Europe/Berlin
6490832576271	IN	Aistala	Asia/Kolkata
1018314745257	ES	Leioa	Europe/Madrid
5752633923496	MA	Temara	Africa/Casablanca
1502427558458	US	Jersey City	America/New_York
4731467606851	BE	Gembloux	Europe/Brussels
4240731684162	CR	San Rafael	America/Costa_Rica
3401761724346	IN	Pujali	Asia/Kolkata
2619371191804	PH	Santa Catalina	Asia/Manila
0944324119942	FR	La Garenne-Colombes	Europe/Paris
2929918999610	JP	Namerikawa	Asia/Tokyo
9702819322847	ET	Arba Minch	Africa/Addis_Ababa
2876367544369	AU	Nowra	Australia/Sydney
8214450444556	IN	Kalavoor	Asia/Kolkata
9901000140899	US	Santa Maria	America/Los_Angeles
3304304637687	CN	Yingkou	Asia/Shanghai
8825069219307	FR	Arles	Europe/Paris
4216233126059	GB	Surbiton	Europe/London
1920866758589	NZ	Timaru	Pacific/Auckland
0966907695704	CN	Beidao	Asia/Shanghai
5098641227011	DE	Ehingen	Europe/Berlin
1683612881138	BE	Gembloux	Europe/Brussels
8345303871554	CL	Chiguayante	America/Santiago
2492491084719	ET	Debre Tabor	Africa/Addis_Ababa
7805031754716	RU	Severodvinsk	Europe/Moscow
5281116308920	MX	Santa Rosa Jauregui	America/Mexico_City
3688708988270	JP	Nayoro	Asia/Tokyo
1700746147920	CN	Heyuan	Asia/Shanghai
2116972683269	AR	Aguilares	America/Argentina/Tucuman
6485719371537	BW	Tonota	Africa/Gaborone
5326751087691	TR	Gaziantep	Europe/Istanbul
6512911264616	ID	Majene	Asia/Makassar
1050589512622	BR	Artur Nogueira	America/Sao_Paulo
5894230138979	NG	Olupona	Africa/Lagos
3960155216220	GB	Hartley	Europe/London
3257004183513	US	Thomasville	America/New_York
1130886055968	JP	Ueno-ebisumachi	Asia/Tokyo
5772656661625	IN	Pune	Asia/Kolkata
8426913451005	LY	Ajdabiya	Africa/Tripoli
6890816028510	JP	Suzaka	Asia/Tokyo
3599108885758	ID	Randudongkal	Asia/Jakarta
3648495083947	TZ	Chanika	Africa/Dar_es_Salaam
7807869055010	FR	Pamiers	Europe/Paris
9242061616344	TN	El Alia	Africa/Tunis
4524705342495	UA	Lutsk	Europe/Kiev
5093679303416	IN	Tiruppuvanam	Asia/Kolkata
7254177368415	CN	Changzhi	Asia/Shanghai
2630810082187	IT	Novara	Europe/Rome
7551291972888	IN	Hungund	Asia/Kolkata
7148649488292	HT	Thomazeau	America/Port-au-Prince
9858341306005	ID	Wangon	Asia/Jakarta
6661336472011	AO	Luena	Africa/Luanda
4489309543689	PT	Paredes	Europe/Lisbon
8055903143943	BG	Montana	Europe/Sofia
0592956757508	US	Muskogee	America/Chicago
0721254168291	DE	Trossingen	Europe/Berlin
9887316662921	CO	Honda	America/Bogota
0985850866962	IN	Osmanabad	Asia/Kolkata
9071071081053	SO	Baki	Africa/Mogadishu
9984424674126	FR	Marseille 11	Europe/Paris
7754962850052	CN	Meizhou	Asia/Shanghai
5872008195119	DE	Wesseling	Europe/Berlin
9916124920784	US	San Juan	America/Chicago
6688474324095	ID	Tebingtinggi	Asia/Jakarta
1908633317788	US	Milledgeville	America/New_York
8181985354424	CN	Pingyi	Asia/Shanghai
9497341492341	BR	Rio Real	America/Bahia
0529010624513	IQ	Karbala	Asia/Baghdad
4576837127167	CN	Pingyi	Asia/Shanghai
9978649289975	ET	Debre Tabor	Africa/Addis_Ababa
3071239104439	ES	Cardedeu	Europe/Madrid
8018680198704	US	Martinsburg	America/New_York
4372915503546	ES	Reus	Europe/Madrid
7517226706799	IN	Madhipura	Asia/Kolkata
5229148919639	TH	Thap Than	Asia/Bangkok
3629589734037	IN	Deoli	Asia/Kolkata
6026939178294	DE	Oberhausen	Europe/Berlin
7990832859019	US	Lebanon	America/New_York
4137545681824	US	Bothell	America/Los_Angeles
7532273549021	DO	Santa Cruz de Barahona	America/Santo_Domingo
5914635202904	IT	Misterbianco	Europe/Rome
5170061323075	IT	Misterbianco	Europe/Rome
1318138597897	AR	Aguilares	America/Argentina/Tucuman
2491083332580	BE	Denderleeuw	Europe/Brussels
0697329643249	JP	Toyokawa	Asia/Tokyo
1330598553305	BR	Miracema	America/Sao_Paulo
4433803073982	IT	Montecchio Maggiore-Alte Ceccato	Europe/Rome
5885317154777	ID	Kediri	Asia/Jakarta
8148752590676	DZ	Beni Douala	Africa/Algiers
6852868637287	CA	Beaconsfield	America/Toronto
4412210363268	DE	Reutlingen	Europe/Berlin
4404825286087	TZ	Nyangao	Africa/Dar_es_Salaam
1580573500606	US	Brunswick	America/New_York
9913335403549	CL	San Bernardo	America/Santiago
9697833657221	AR	Aguilares	America/Argentina/Tucuman
8401433903425	US	American Canyon	America/Los_Angeles
9470096100334	TJ	Vahdat	Asia/Dushanbe
9822987667851	IT	Mesagne	Europe/Rome
0732635877855	US	Scarsdale	America/New_York
4039045446760	CN	Guli	Asia/Shanghai
8077137305515	AU	Wheelers Hill	Australia/Melbourne
0923127113562	AT	Floridsdorf	Europe/Vienna
8251059327170	DZ	Bordj Zemoura	Africa/Algiers
2277687120415	PH	Masbate	Asia/Manila
5751688552149	FR	Quimper	Europe/Paris
5431474160696	RO	Sector 6	Europe/Bucharest
3790956459096	RU	Kireyevsk	Europe/Moscow
6568838905248	RS	Sremska Mitrovica	Europe/Belgrade
1158602720556	CN	Beidao	Asia/Shanghai
0529087102501	CN	Shuangcheng	Asia/Shanghai
2983620359728	PH	Antipolo	Asia/Manila
5883550329006	SK	Skalica	Europe/Bratislava
2307274508750	IT	Afragola	Europe/Rome
8347282197267	NG	Gaya	Africa/Lagos
6299135604175	RU	Solntsevo	Europe/Moscow
4524313446592	MX	Oaxaca	America/Mexico_City
4071941221621	US	Murray	America/Chicago
9785854438483	US	Searcy	America/Chicago
5688702907251	IN	Pandua	Asia/Kolkata
7604735362537	DE	Zeitz	Europe/Berlin
5249585051396	FR	Saint-Genis-Laval	Europe/Paris
4739932024520	BE	Houthalen	Europe/Brussels
3017963058716	IN	Calangute	Asia/Kolkata
0621175788564	PR	Aguadilla	America/Puerto_Rico
8783114812142	IT	Bisceglie	Europe/Rome
7585501849752	PH	Tupi	Asia/Manila
0582858117036	US	Kendall	America/New_York
6012236569125	AU	Nowra	Australia/Sydney
5978179939931	KZ	Kyzylorda	Asia/Qyzylorda
9116549813696	US	New Canaan	America/New_York
3414998013862	JP	Fujioka	Asia/Tokyo
3838109111658	US	Keene	America/New_York
9347300305116	GB	Exeter	Europe/London
6651281363069	CU	Media Luna	America/Havana
8259059218221	SV	Sonzacate	America/El_Salvador
