pct_mouse_click	total_load_time	mouse_move_total_rel_distance	session_start	session_id	ack	screen_width	pct_click	browser_name	pct_mouse_move	pct_click_product_info	pct_scroll_move_duration	pct_scrandom	session_duration	page_activity_duration	pct_rage_click	scroll_move_total_rel_distance	user_id	screen_height	pct_input	pct_doubleclick	product_ean	pct_scroll_move	pct_wild_mouse	wild_mouse_duration
6.76035	15.00632	7.91611	2023-07-06 00:59:11	719775	0.00000	lower	6.95057	opera	6.03169	50.59959	7.12480	38.06045	181.61372	9.81613	27.21166	6.09851	868	1080	1.95647	6.97834	0248099568029	44.03202	46.68163	10.74376
5.46624	1.04290	8.84385	2021-01-17 05:46:46	92085	0.00000	800		edge	6.70707	44.00683	7.60311	53.78949	108.15885	9.96024	57.45350	9.70491	748	1080	2.29294	9.61049	6638480475311	29.28054	65.50466	10.91609
6.75326	5.53722	8.14337	2019-02-13 15:46:33	1194424	0.00000	lower	7.19415	edge	5.84443	49.93366	7.70006	54.53800	157.91095	8.43727	47.46144	5.79315	1959	768	0.36497	5.14403	7111799508394	41.13195	66.42266	8.70608
9.09710	6.81720	6.52434	2019-06-15 19:33:59	335521	1.00000	1280	9.56752	chrome	8.75647	32.96224	9.17816	62.50973	85.22201	6.60643	45.16742	9.26782	1587	1080	0.15159	10.58422	2755517198198	53.76225	49.90523	7.34936
4.85419	3.92631	7.87990	2022-09-22 07:44:05	1144426	1.00000	1366	7.21841	mobile	5.68521	56.01077	8.27036	63.70820	121.12426	8.13167	51.15321	12.26355	2476	1024	0.10660	9.54298	4511971237235	56.00922	41.36312	6.19937
6.10629	1.60295	8.34195	2019-12-26 10:34:30	1119598	0.00000	1024	7.92838	edge	7.76429	36.39425	5.94943	36.49498	109.91971	12.15022	55.01870	11.45785	16	higher	0.88883	10.05772	8377930285275	62.92456	57.14864	9.85068
5.59644	4.38786	8.07138	2022-12-28 04:57:57	1101936	0.00000	800	6.15335	edge	4.36375	71.07030	9.21030	46.43225	174.32861	7.45337	42.03834	7.56158	399	800	0.30115	8.41536	5848081073521	27.36314	39.17680	8.65602
10.09714	5.60192	7.34878	2019-08-30 05:28:20	733967	0.00000	1920	10.82003	chrome	9.91053	42.12068	6.44565	38.75630	282.07215	5.32343	45.24669	9.44797	1584	1080	0.14727	10.30437	1198170055643	45.06783	54.96828	6.84601
8.65896	1.58037	9.82932	2020-04-14 01:58:30	299692	0.00000	1024	7.47290	edge	7.34006	67.21646	8.05404	36.78259	75.37002	10.58844	54.28695	5.72811	291	800	0.48883	9.10471	8645439876660	34.91791	61.94807	9.21182
8.79572	2.16866	9.95223	2023-05-07 05:29:11	1497700	1.00000	1280	10.80457	chrome	9.05619	64.48067	9.01849	37.71053	56.27907	5.76606	49.59750	10.47279	2449	600	0.16904	9.85334	2799461203508	42.79053	57.41129	7.38215
9.93082	4.50438	7.93262	2019-07-25 09:21:55	293372	1.00000	800	10.03460	edge	10.51623	46.80214	8.00690	61.24123	100.12188	5.77089	45.98820	9.96633	995	1080	0.09432	10.28154	0706477082760	38.20803	61.93064	7.19860
5.82416	1.84220	9.11651	2023-05-10 09:32:56	830414	0.00000	1024	6.49103	edge	4.76083	52.18055	7.28843	35.85174	109.32082	9.89998	20.12400	6.13761	493	higher	1.10313	6.61986	4668434727465	69.56775	54.41390	10.15083
5.69325	5.15853	7.13977	2020-08-11 05:32:30	1098209	0.00000	800	4.98023	firefox	6.66919	32.63840	9.03152	30.17024	288.54211	9.61794	42.44538	9.46263	988	1024	1.21481	9.52459	2607507337417	47.58754	34.37283	10.26694
7.58774	13.20230	9.20133	2021-06-05 13:30:28	867524	1.00000	higher	9.55314	edge	10.40299	43.17388	8.20567	50.64942	191.52608	9.62778	37.08027	11.31606	599	768	2.06848	7.72934	1240569891803	42.58614	57.00200	10.80773
6.72624	7.08051	9.10379	2021-09-16 08:50:14	701233	1.00000	800	3.86219	chrome	9.55076	54.84123	8.11770	69.61941	181.31512	8.65588	41.88925	9.71788	569	lower	0.29639	7.10642	0383275716303	64.19801	40.90227	8.72826
7.40249	3.35005	9.96927	2019-06-08 01:20:23	1193977	1.00000	800	7.64746	edge	10.67085	59.61439	8.54015	44.40589	204.50691	8.54668	55.28623	11.73481	2040	768	1.05473	8.29760	1766482856731	44.86800	43.93022	10.07485
8.96216	0.82157	9.65089	2020-07-14 04:40:35	377667	1.00000	1920	10.13842	edge	10.22362	57.99783	7.86383	76.23918	106.52229	6.90197	60.34134	11.44903	671	600	0.69264	11.77301	7377525525749	32.01402	51.22540	9.66216
5.36844	2.91089	7.00872	2019-07-08 16:21:36	899920	0.00000	1366	6.30056	edge	5.39199	61.27704	8.09169	42.40903	21.88189	9.33290	58.94725	9.37163	2366	600	0.63910	9.45777	3198141466711	61.62111	44.62279	9.53961
5.29636	0.46008	7.56824	2019-04-30 12:37:20	1267014	0.00000	lower	6.75793	mobile	2.74143	41.50592	7.59904	74.88374	104.04878	10.67006	29.85230	5.92225	2199	1080	0.12342	6.77653	0861860487888	42.19181	64.09748	6.47067
7.01985	1.26948	6.80982	2020-06-19 16:04:57	819191	1.00000	1920	6.74386	chrome	7.88222	67.39012	8.10304	42.59269	151.61733	9.31864	64.09140	8.26464	2430	1080	0.49005	7.12657	9291618144533	46.14702	47.71767	9.29438
8.21309	3.14689	7.40784	2021-04-15 21:22:20	889683	0.00000	800	4.67395	chrome	9.20480	50.13245	8.41271	48.78628	220.42876	8.87228	64.63345	4.45466	334	600	5.11041	4.20929	3580542676248	42.10876	38.93016	11.73111
9.46367	1.26998	6.84687	2021-07-22 02:47:20	1129566	1.00000	higher	11.31304	chrome	10.15592	67.11627	8.39962	62.89261	131.75695	4.86294	60.03468	10.96785	549	1024	0.11417	9.29378	8013647627440	46.68368	42.81568	5.94102
6.94506	1.79763	6.70098	2020-04-15 06:15:41	889889	1.00000	1024	6.73812	edge	8.83350	68.96664	7.06933	25.56055	152.07322	10.81751	56.12642	9.38613	887	800	1.33556	7.74012	5613880953899	45.90329	58.97424	10.36401
5.47062	2.24482	7.70435	2020-04-10 17:36:25	1057514	0.00000	lower	6.02033	mobile	5.46731	52.87503	9.09144	26.36327	96.32011	9.00415	48.23480	9.20388	1106	1024	0.62672	9.54457	4094004139947	62.22180	38.08279	9.58662
7.94469	1.14950	7.99561	2022-10-19 03:49:20	247463	0.00000	1280	6.60177	edge	8.95689	56.56486	9.23078	29.61784	167.86281	7.75094	11.12891	5.86015	147	1024	5.82462	4.64510	1634741905110	57.68683	66.94331	11.86953
5.67740	1.91129	7.73737	2021-08-21 11:48:53	833129	0.00000	1024	4.35742	edge	5.47941	55.11720	7.34568	50.76878	140.82580	7.72077	53.81742	8.30642	413	600	1.00362	10.01408	9475253777398	28.57676	52.38546	10.04419
6.81900	0.83903	7.81126	2023-02-26 15:25:26	562699	1.00000	1280	4.67225	edge	8.99107	49.99322	7.02467	49.22194	177.02060	12.10269	49.57277	8.19146	1259	1024	0.30229	5.74832	7739005286203	21.77643	36.96240	8.68131
7.41255	3.75316	7.38857	2020-10-13 06:16:02	270137	1.00000	1366	8.74283	chrome	9.38461	62.22363	7.57872	63.52926	89.51993	9.35276	49.25403	9.99808	1162	higher	1.14929	7.21291	7842494419868	53.15460	58.62173	10.21761
7.05467	2.94450	7.39522	2021-02-26 05:52:59	1497302	1.00000	800	6.03139	firefox	9.94638	59.40539	8.26786	61.34513	194.24287	8.33067	73.05895	10.05699	2280	1080	0.45773	6.34558	3418408630021	49.79741	57.38674	9.22662
6.41742	7.62312	6.24436	2023-05-25 07:09:48	265886	1.00000	800	4.03213	edge	11.21993	75.03791	8.15707	59.53334	77.13736	11.70315	51.83352	10.17389	855	lower	1.72802	4.52380	0649240512647	23.00597	63.31670	10.62516
6.72077	3.10817	8.42893	2021-10-07 16:48:41	167303	1.00000	1024	5.50564	edge	10.27923	54.78428	7.92623	54.05230	148.02381	7.67471	50.37316	10.56860	2134	lower	1.18639	6.24198	5807236613333	51.31803	36.05603	10.25876
6.97473	3.59367	8.34904	2023-07-09 06:39:31	703815	0.00000	1280	5.53276	chrome	4.85544	51.50133	7.93482	37.82492	156.84501	9.87777	41.19855	4.47207	1199	1024	0.38568	7.61247	7729237621347	46.07885	52.05468	8.95611
8.34446	2.46421	8.86081	2020-02-24 20:08:43	823703	1.00000	800	10.63427	safari	8.71084	45.17902	9.32601	45.20930	117.90814	5.39393	43.86447	10.92373	2314	600	0.12702	9.33897	6705875046774	45.00786	57.08350	6.33077
7.23610	2.61996	8.40748	2019-06-05 18:51:46	225739	1.00000	1280	7.15719	edge	10.93352	39.31215	9.30250	48.33892	193.96050	10.91281	43.90298	10.94743	738	1024	1.11489	6.51059	8564817080157	49.31208	61.23173	10.14865
6.21132	2.25739	7.60020	2020-07-03 10:17:36	685664	0.00000	1366	6.61940	chrome	7.71236	69.56415	7.90405	64.79276	171.89897	11.26239	54.05669	11.28743	1099	800	0.86813	11.23279	7250059284125	39.66743	38.96229	9.87370
7.27612	2.92819	8.03449	2022-10-24 07:04:33	321118	0.00000	lower	8.56366	firefox	7.71930	49.05257	9.37588	58.85889	71.29296	8.26150	48.33781	6.64487	921	1080	7.90350	5.08697	3346782560644	56.35823	66.80352	12.17709
10.62268	2.19906		2023-05-10 01:07:03	413368	1.00000	800	9.55277	chrome	10.13293	52.72175	6.82809	46.28014	71.31878	6.64408	40.22928	7.85545	1918	768	0.07282	9.20739	4747629492569	25.38087	64.48524	5.34960
6.12470	2.41935	8.61576	2020-11-20 12:00:06	1063717	0.00000	1024	6.66568	chrome	5.64060	52.92551	8.94879	47.51050	61.66617	8.44180	44.06018	9.17783	2472	768	0.29389	10.21981	1886146059008	56.43837	46.29655	8.50571
5.31225	3.97272	10.12791	2021-07-14 07:44:00	1156160	0.00000	1024	5.74954	safari	6.63935	49.09579	10.38689	35.13890	56.45145	10.67821	36.86658	10.57513	823	768	1.01617	9.74029	6608504531507	44.25419	56.48136	10.02694
6.43781	4.83080	8.84851	2018-11-19 11:31:31	1323218	0.00000	1366	7.70272	chrome	5.67291	48.93720	7.79696	21.67627	194.36637	10.86791	34.57585	7.26961	1051	1024	0.68198	7.83484	0171159601520	45.92157	39.35017	9.67469
6.91959	0.83986	6.54189	2021-05-05 10:45:41	1045355	1.00000	800	6.79902	safari	9.58543	54.10339	7.19598	41.99429	121.78659	9.86863	29.41182	10.16288	1523	800	1.87176	7.36362	7104262573685	61.89929	39.24856	10.72491
5.55398	6.23639	7.97769	2018-11-03 10:49:54	600163	0.00000	1280	5.86366	safari	4.94892	43.55256	6.51708	36.54624	196.81685	10.64620	47.06121	6.19879	2494	800	0.65331	5.66519	7303080857889	68.53351	39.21686	9.53008
6.17946	3.76004	7.32199	2023-04-15 22:18:01	778193	1.00000	1280	4.16259	chrome	8.74104	50.22431	7.91791	55.62127	94.21286	7.93491	54.02972	8.34021	520	1080	1.47933	4.82859	1385918568002	51.75354	70.13938	10.45065
6.93155	2.29664	7.09558	2019-03-05 11:27:25	372893	0.00000	1280	9.39711	chrome	6.30893	42.52639	7.69904	52.46131	97.82743	10.87985	68.18079	7.37587	1570	higher	1.75758	7.43421	9386087457953	72.98020	57.23279	10.64112
11.35461	3.19897	6.17336	2023-08-25 13:11:09	258595	1.00000	higher	13.29909	edge	11.78166	60.31086	7.68272	43.95457	138.62245	3.98724	89.78780	9.86793	2478	800	0.07712	8.84570	9131444253668	37.43976	28.23496	6.63962
4.18592	2.00865	8.99041	2019-02-16 08:13:18	699924	0.00000	1920	4.71092	firefox	5.09538	45.20431	8.76805	66.29869	114.02479	10.15078	72.88608	9.24037	1356	1080	1.92295	7.75564	4663551706782	57.97690	52.87398	10.72551
5.38098	5.75709	7.14860	2022-07-27 21:59:53	783848	0.00000	1920	6.15161	other	5.78052	25.54213	7.13590	51.83180	172.11042	9.95071	57.23020	9.45820	1968	1080	1.02748	9.32718	6427351218344	30.12104	57.98055	10.06330
8.39729	2.49416	8.00099	2022-12-26 22:46:23	767678	1.00000	lower	10.05868	chrome	9.18775	42.97740	8.90565	48.56609	56.09729	6.86682	53.16805	11.48717	2482	lower	0.43724	11.95296	2473256541982	72.71997	74.11585	9.19441
8.01368	4.84211	9.89921	2023-02-08 03:12:06	1297000	0.00000	1280	6.92743	chrome	8.30226	45.17839	7.54065	34.71055	1.05300	8.57782	34.62807	5.53852	2079	higher	2.34172	5.15785	7486492068415	26.66299	52.30811	10.95005
6.65131	7.35279	8.62011	2018-12-05 08:04:39	1222969	1.00000	1366	4.49634	other	8.05593	58.30418	8.56529	43.09939	111.19268	8.22009	46.72039	8.22638	98	800	0.40522	6.87815	6137433146785	43.48610	41.15316	8.97424
6.28224	0.51856	7.89211	2022-12-27 22:15:37	809684	0.00000	1024	5.19397	edge	7.34271	80.58052	6.67693	65.53539	161.65254	10.12037	46.44279	6.90052	1051	768	2.12567	5.40911	2253616050978	48.29596	74.51860	10.84432
7.41018	1.06837	10.23120	2020-06-24 04:45:06	1054350	1.00000	1280	6.19664	edge	7.67654	47.66437	7.48732	48.13326	140.62062	8.80174	46.12289	9.31898	1846	higher	0.06971	9.79411	7960608885399	48.12875	65.45435	6.29359
7.30794	5.54053	7.27616	2021-04-08 16:54:34	13151	0.00000	1280	7.30339	mobile	8.71173	48.61776	7.61328	28.21456	181.34707	9.29632	41.40848	8.86541	378	800	0.33317	6.71442	6941120538476	49.55080	62.00442	8.89940
7.83784	9.37327	8.34103	2021-12-23 10:37:03	110737	1.00000	1366	7.87917	edge	8.02656	58.00373	8.07296	62.91229	193.74151	7.81409	46.06862	9.86800	655	1080	0.12739	10.24682	5302245306707	40.36684	61.31343	6.85446
11.90202	5.20338	8.36523	2023-08-01 04:44:21	315490	1.00000	1280	9.96332	chrome	12.49178	67.09683	10.11377	53.04959	102.10130	6.82683	41.31100	8.11731	193	768	0.06430	9.08314	8546258189101	30.50731	52.08101	6.08876
7.25910	0.25212	8.10456	2019-08-17 04:11:31	147392	1.00000	1280	8.25235	chrome	8.33870	50.90841	7.36440	56.24781	206.53673	9.96148	23.48305	8.57497	682	lower	0.88537	6.68828	4821139449890	44.97821	71.65667	9.90060
4.12734	5.61398	9.28686	2022-03-12 11:34:11	683826	0.00000	800	8.21691	mobile	1.72697	73.97460	9.26236	54.56152	199.80817	12.76270	48.84519	7.59407	351	1024	0.22787	8.03055	6490925902390	45.67664	43.80939	7.99921
5.65333	3.64920	8.48336	2021-03-05 10:34:29	498128	1.00000	1920	7.93972	edge	5.28463	65.62532	8.20060	43.43711	131.91803	9.32888	52.99430	7.63338	1388	1024	0.71364	5.99481	1099280034774	30.99601	30.19555	9.66546
6.85860	5.47562	8.69962	2021-05-20 23:35:59	815543	1.00000	800	4.84289	chrome	9.08652	57.24942	8.04093	37.79469	105.53818	12.03464	48.92228	7.87048	526	1024	0.23033	4.82611	3405802454438	34.55133	52.75138	8.57818
9.86004	2.49512	8.63874	2020-10-07 16:10:38	980310	0.00000	1920	5.61979	other	8.24515	44.71176	7.92824	26.31426	30.52005	8.80901	50.30169	2.90779	2107	1080	0.27709	6.79345	3177442650395	45.40820	37.31568	8.36877
6.72900	0.45707	6.96332	2018-12-12 20:25:03	1195652	1.00000	1366	5.44959	mobile	9.88935	38.66819	9.16370	53.42944	126.12642	10.25713	47.88510	9.64572	1767	1080	1.05768	5.89427	1340167082655	28.56638	46.53992	10.12647
